Population Size,Mutation Rate,Crossover Rate,Best Fitness,Time,Iterations
470,0.03,0.71,8192.109753929899,6.987,458,"[47, 36, 38, 39, 37, 23, 4, 14, 5, 3, 24, 11, 27, 25, 46, 13, 51, 12, 26, 10, 50, 32, 42, 9, 8, 7, 40, 18, 44, 31, 35, 34, 33, 43, 48, 0, 21, 17, 2, 16, 1, 6, 41, 20, 30, 22, 29, 19, 49, 28, 15, 45]"
470,0.03,0.82,8156.252977799267,8.996,563,"[15, 28, 49, 19, 22, 29, 1, 6, 41, 16, 2, 17, 30, 20, 21, 0, 31, 48, 43, 33, 34, 35, 38, 36, 39, 37, 23, 5, 3, 24, 11, 27, 26, 25, 46, 12, 13, 51, 10, 50, 32, 9, 8, 7, 40, 18, 44, 42, 14, 4, 47, 45]"
470,0.03,0.9,8413.179915877727,8.366,490,"[31, 44, 18, 9, 8, 7, 40, 2, 16, 6, 1, 41, 20, 29, 22, 19, 49, 28, 46, 25, 27, 26, 12, 13, 51, 10, 11, 50, 32, 42, 3, 24, 45, 15, 43, 33, 36, 47, 23, 5, 14, 4, 37, 39, 38, 35, 34, 48, 21, 17, 30, 0]"
470,0.12,0.6,7918.090289264011,6.395,400,"[15, 43, 33, 34, 35, 38, 39, 36, 37, 47, 23, 4, 14, 5, 3, 42, 32, 9, 8, 7, 40, 18, 44, 31, 48, 0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 28, 46, 25, 26, 12, 13, 51, 10, 50, 11, 27, 24, 45]"
470,0.12,0.71,8397.196745988682,6.93,400,"[46, 28, 29, 1, 6, 41, 20, 16, 2, 17, 18, 40, 7, 8, 9, 44, 31, 48, 0, 21, 30, 22, 19, 49, 15, 43, 33, 34, 35, 38, 39, 36, 45, 24, 47, 23, 37, 4, 14, 5, 3, 42, 32, 50, 10, 51, 13, 12, 26, 11, 27, 25]"
470,0.12,0.82,8062.645511003194,7.407,400,"[33, 34, 48, 31, 0, 21, 17, 30, 22, 19, 49, 15, 28, 29, 1, 6, 41, 20, 16, 2, 44, 18, 40, 7, 8, 9, 32, 42, 3, 50, 10, 51, 13, 12, 46, 25, 26, 27, 11, 24, 5, 14, 4, 23, 47, 45, 43, 36, 37, 39, 38, 35]"
470,0.12,0.9,7700.182409327474,7.111,412,"[35, 38, 39, 36, 45, 47, 23, 37, 4, 14, 5, 3, 24, 11, 27, 25, 46, 26, 12, 13, 51, 10, 50, 32, 42, 9, 8, 7, 40, 18, 44, 31, 48, 0, 21, 30, 17, 2, 16, 20, 41, 6, 1, 29, 22, 19, 49, 28, 15, 43, 33, 34]"
470,0.2,0.6,8017.192735519588,6.193,400,"[48, 31, 44, 18, 40, 7, 8, 9, 42, 32, 50, 11, 27, 26, 10, 51, 13, 12, 25, 46, 28, 15, 49, 19, 22, 29, 1, 6, 41, 20, 16, 2, 17, 30, 21, 0, 43, 45, 24, 3, 5, 14, 4, 23, 47, 37, 36, 39, 38, 35, 33, 34]"
470,0.2,0.71,8544.613842795585,6.536,400,"[38, 35, 34, 33, 0, 48, 31, 44, 18, 9, 8, 7, 40, 2, 16, 17, 21, 30, 20, 41, 6, 1, 29, 28, 46, 25, 27, 26, 12, 13, 51, 10, 11, 50, 32, 42, 5, 3, 24, 45, 39, 37, 14, 4, 23, 47, 43, 22, 19, 49, 15, 36]"
470,0.2,0.82,8502.263647843121,6.83,402,"[44, 2, 16, 20, 41, 6, 1, 29, 22, 30, 17, 21, 0, 31, 48, 34, 35, 38, 39, 33, 43, 45, 15, 49, 19, 28, 46, 13, 51, 12, 26, 25, 27, 10, 50, 11, 24, 3, 5, 4, 23, 47, 36, 37, 14, 42, 32, 9, 8, 7, 18, 40]"
470,0.2,0.9,8227.05459026733,6.943,400,"[33, 34, 35, 48, 31, 0, 21, 22, 19, 29, 1, 6, 41, 20, 16, 2, 17, 30, 44, 18, 40, 7, 8, 9, 32, 42, 37, 39, 38, 36, 47, 23, 4, 14, 5, 3, 24, 11, 50, 10, 51, 13, 12, 26, 27, 25, 46, 28, 49, 15, 43, 45]"
